,s,e,t
449,"goldstein,rs","mcnicholas,wt",1984
450,"goldstein,rs","bradley,d",1984
451,"goldstein,rs","phillipson,ea",1984
452,"hrubec,z","robinette,cd",1984
453,"cleary,ml","warnke,r",1984
454,"cleary,ml","sklar,j",1984
455,"nutt,jg","woodward,wr",1984
456,"nutt,jg","hammerstad,jp",1984
457,"nutt,jg","carter,jh",1984
458,"nutt,jg","anderson,jl",1984
459,"friedrich,eg","kalra,ps",1984
460,"clumeck,n","sonnet,j",1984
461,"clumeck,n","taelman,h",1984
462,"clumeck,n","mascartlemone,f",1984
463,"clumeck,n","debruyere,m",1984
464,"clumeck,n","vandeperre,p",1984
465,"clumeck,n","dasnoy,j",1984
466,"clumeck,n","marcelis,l",1984
467,"clumeck,n","lamy,m",1984
468,"clumeck,n","jonas,c",1984
469,"clumeck,n","eyckmans,l",1984
470,"clumeck,n","noel,h",1984
471,"clumeck,n","vanhaeverbeek,m",1984
472,"clumeck,n","butzler,jp",1984
473,"takafuji,et","kirkpatrick,jw",1984
474,"takafuji,et","miller,rn",1984
475,"takafuji,et","karwacki,jj",1984
476,"takafuji,et","kelley,pw",1984
477,"takafuji,et","gray,mr",1984
478,"takafuji,et","mcneill,km",1984
479,"takafuji,et","timboe,hl",1984
480,"takafuji,et","kane,re",1984
481,"takafuji,et","sanchez,jl",1984
482,"chervenak,fa","farley,ma",1984
483,"chervenak,fa","walters,l",1984
484,"chervenak,fa","hobbins,jc",1984
485,"chervenak,fa","mahoney,mj",1984
486,"falchuk,zm","harris,nl",1984
487,"falchuk,zm","simeone,jf",1984
488,"falchuk,zm","isselbacher,kj",1984
489,"falchuk,zm","scully,re",1984
490,"falchuk,zm","kuter,dj",1984
491,"falchuk,zm","schapiro,rh",1984
492,"dryja,tp","cavenee,w",1984
493,"dryja,tp","white,r",1984
494,"dryja,tp","rapaport,jm",1984
495,"dryja,tp","petersen,r",1984
496,"dryja,tp","albert,dm",1984
497,"dryja,tp","bruns,gap",1984
498,"mayhall,cg","archer,nh",1984
499,"mayhall,cg","lamb,va",1984
500,"mayhall,cg","spadora,ac",1984
501,"mayhall,cg","baggett,jw",1984
502,"mayhall,cg","ward,jd",1984
503,"mayhall,cg","narayan,rk",1984
504,"seligsohn,u","berger,a",1984
505,"seligsohn,u","abend,m",1984
506,"seligsohn,u","rubin,l",1984
507,"seligsohn,u","attias,d",1984
508,"seligsohn,u","zivelin,a",1984
509,"seligsohn,u","rapaport,si",1984
510,"centor,rm","yarbrough,b",1984
511,"centor,rm","wood,jp",1984
512,"pollack,es","nomura,amy",1984
513,"pollack,es","heilbrun,lk",1984
514,"pollack,es","stemmermann,gn",1984
515,"pollack,es","green,sb",1984
516,"chrousos,gp","schulte,hm",1984
517,"chrousos,gp","oldfield,eh",1984
518,"chrousos,gp","gold,pw",1984
519,"chrousos,gp","cutler,gb",1984
520,"chrousos,gp","loriaux,dl",1984
521,"abram,mb","wolf,sm",1984
522,"rao,tks","filippone,ej",1984
523,"rao,tks","nicastri,ad",1984
524,"rao,tks","landesman,sh",1984
525,"rao,tks","frank,e",1984
526,"rao,tks","chen,ck",1984
527,"rao,tks","friedman,ea",1984
528,"paradise,jl","bluestone,cd",1984
529,"paradise,jl","bachman,rz",1984
530,"paradise,jl","colborn,dk",1984
531,"paradise,jl","bernard,bs",1984
532,"paradise,jl","taylor,fh",1984
533,"paradise,jl","rogers,kd",1984
534,"paradise,jl","schwarzbach,rh",1984
535,"paradise,jl","stool,se",1984
536,"paradise,jl","friday,ga",1984
537,"paradise,jl","smith,ih",1984
538,"paradise,jl","saez,ca",1984
539,"johnson,ts","rock,pb",1984
540,"johnson,ts","fulco,cs",1984
541,"johnson,ts","trad,la",1984
542,"johnson,ts","spark,rf",1984
543,"johnson,ts","maher,jt",1984
544,"lamers,cbhw","lind,t",1984
545,"lamers,cbhw","moberg,s",1984
546,"lamers,cbhw","jansen,jbmj",1984
547,"lamers,cbhw","olbe,l",1984
548,"romero,r","duffy,tp",1984
549,"romero,r","berkowitz,rl",1984
550,"romero,r","chang,e",1984
551,"romero,r","hobbins,jc",1984
552,"haskell,wl","camargo,c",1984
553,"haskell,wl","williams,pt",1984
554,"haskell,wl","vranizan,km",1984
555,"haskell,wl","krauss,rm",1984
556,"haskell,wl","lindgren,ft",1984
557,"haskell,wl","wood,pd",1984
558,"press,m","tamborlane,wv",1984
559,"press,m","sherwin,rs",1984
560,"white,cw","wright,cb",1984
561,"white,cw","doty,db",1984
562,"white,cw","hiratza,lf",1984
563,"white,cw","eastham,cl",1984
564,"white,cw","harrison,dg",1984
565,"white,cw","marcus,ml",1984
566,"starfield,b","katz,h",1984
567,"starfield,b","gabriel,a",1984
568,"starfield,b","livingston,g",1984
569,"starfield,b","benson,p",1984
570,"starfield,b","hankin,j",1984
571,"starfield,b","horn,s",1984
572,"starfield,b","steinwachs,d",1984
573,"rabin,d","bloomgarden,zt",1984
574,"rabin,d","feman,ss",1984
575,"rabin,d","davis,tq",1984
576,"strole,we","richards,fm",1984
577,"strole,we","ferrucci,jt",1984
578,"strole,we","scully,re",1984
579,"strole,we","aserkoff,br",1984
580,"strole,we","schooley,rt",1984
581,"crum,cp","ikenberg,h",1984
582,"crum,cp","richart,rm",1984
583,"crum,cp","gissmann,l",1984
584,"murray,hw","rubin,by",1984
585,"murray,hw","masur,h",1984
586,"murray,hw","roberts,rb",1984
587,"ginsburg,pb","sloan,fa",1984
588,"larusso,nf","wiesner,rh",1984
589,"larusso,nf","ludwig,j",1984
590,"larusso,nf","maccarty,rl",1984
591,"marmont,a","frassoni,f",1984
592,"marmont,a","bacigalupo,a",1984
593,"marmont,a","podesta,m",1984
594,"marmont,a","piaggio,g",1984
595,"marmont,a","vanlint,mt",1984
596,"marmont,a","caimo,a",1984
597,"marmont,a","defilippi,s",1984
598,"rappeport,jm","harris,nl",1984
599,"rappeport,jm","mark,ej",1984
600,"rappeport,jm","mcloud,tc",1984
601,"rappeport,jm","scully,re",1984
602,"rappeport,jm","coughlin,sr",1984
603,"rappeport,jm","tepler,i",1984
604,"gump,dw","gibson,m",1984
605,"gump,dw","ashikaga,t",1984
606,"kundsin,rb","driscoll,sg",1984
607,"kundsin,rb","monson,rr",1984
608,"kundsin,rb","yeh,c",1984
609,"kundsin,rb","biano,sa",1984
610,"kundsin,rb","cochran,wd",1984
611,"ponticelli,c","zucchelli,p",1984
612,"ponticelli,c","imbasciati,e",1984
613,"ponticelli,c","cagnoli,l",1984
614,"ponticelli,c","pozzi,c",1984
615,"ponticelli,c","passerini,p",1984
616,"ponticelli,c","grassi,c",1984
617,"ponticelli,c","limido,d",1984
618,"ponticelli,c","pasquali,s",1984
619,"ponticelli,c","volpini,t",1984
620,"ponticelli,c","sasdelli,m",1984
621,"ponticelli,c","locatelli,f",1984
622,"biederman,j","jellinek,ms",1984
623,"sotelo,j","escobedo,f",1984
624,"sotelo,j","rodriguezcarbajal,j",1984
625,"sotelo,j","torres,b",1984
626,"sotelo,j","rubiodonnadieu,f",1984
627,"leppo,ja","obrien,j",1984
628,"leppo,ja","rothendler,ja",1984
629,"leppo,ja","getchell,jd",1984
630,"leppo,ja","lee,vw",1984
631,"hug,g","soukup,s",1984
632,"hug,g","ryan,m",1984
633,"hug,g","chuck,g",1984
634,"pietro,da","labresh,ka",1984
635,"pietro,da","shulman,rm",1984
636,"pietro,da","folland,ed",1984
637,"pietro,da","parisi,af",1984
638,"pietro,da","sasahara,aa",1984
639,"fitzgerald,ga","smith,b",1984
640,"fitzgerald,ga","pedersen,ak",1984
641,"fitzgerald,ga","brash,ar",1984
642,"hurley,dm","brian,r",1984
643,"hurley,dm","outch,k",1984
644,"hurley,dm","stockdale,j",1984
645,"hurley,dm","fry,a",1984
646,"hurley,dm","hackman,c",1984
647,"hurley,dm","clarke,i",1984
648,"hurley,dm","burger,hg",1984
649,"greenberg,ra","haley,nj",1984
650,"greenberg,ra","etzel,ra",1984
651,"greenberg,ra","loda,fa",1984
652,"andreoli,sp","bergstein,jm",1984
653,"andreoli,sp","sherrard,dj",1984
654,"bedell,se","delbanco,tl",1984
655,"davies,mj","thomas,a",1984
656,"moser,ae","singh,i",1984
657,"moser,ae","brown,fr",1984
658,"moser,ae","solish,gi",1984
659,"moser,ae","kelley,ri",1984
660,"moser,ae","benke,pj",1984
661,"moser,ae","moser,hw",1984
662,"tam,mr","stamm,we",1984
663,"tam,mr","handsfield,hh",1984
664,"tam,mr","stephens,r",1984
665,"tam,mr","kuo,cc",1984
666,"tam,mr","holmes,kk",1984
667,"tam,mr","ditzenberger,k",1984
668,"tam,mr","krieger,m",1984
669,"tam,mr","nowinski,rc",1984
670,"glenn,wwl","hogan,jf",1984
671,"glenn,wwl","loke,jso",1984
672,"glenn,wwl","ciesielski,te",1984
673,"glenn,wwl","phelps,ml",1984
674,"glenn,wwl","rowedder,r",1984
675,"stern,rs","laird,n",1984
676,"stern,rs","melski,j",1984
677,"stern,rs","parrish,ja",1984
678,"stern,rs","fitzpatrick,tb",1984
679,"stern,rs","bleich,hl",1984
680,"inturrisi,ce","max,mb",1984
681,"inturrisi,ce","foley,km",1984
682,"inturrisi,ce","schultz,m",1984
683,"inturrisi,ce","shin,su",1984
684,"inturrisi,ce","houde,rw",1984
685,"george,jn","nurden,at",1984
686,"george,jn","phillips,dr",1984
687,"jacobs,ad","gale,rp",1984
688,"crystal,rg","bitterman,pb",1984
689,"crystal,rg","rennard,si",1984
690,"crystal,rg","hance,aj",1984
691,"crystal,rg","keogh,ba",1984
692,"crystal,rg","bitterman,pb",1984
693,"crystal,rg","rennard,si",1984
694,"crystal,rg","hance,aj",1984
695,"crystal,rg","keogh,ba",1984
696,"willett,wc","macmahon,b",1984
697,"willett,wc","macmahon,b",1984
698,"kopans,db","meyer,je",1984
699,"kopans,db","sadowsky,n",1984
700,"kliegman,rm","fanaroff,aa",1984
701,"robbins,dc","tager,hs",1984
702,"robbins,dc","rubenstein,ah",1984
703,"holm,le","blomgren,h",1985
704,"holm,le","lowhagen,t",1985
705,"yolken,rh","losonsky,ga",1985
706,"yolken,rh","vonderfecht,s",1985
707,"yolken,rh","leister,f",1985
708,"yolken,rh","wee,sb",1985
709,"stern,rs","epstein,am",1985
